Title,h2,sqlogolink_URL,Number,mtxsm_URL,mtxsm,mtxsm_URL1,mtxsm2,subtlelink_URL,subtlelink
Facebook,#13,https://www.glassdoor.sg/facebook,4.1,https://www.glassdoor.sg/Reviews/Facebook-Reviews-E40772.htm, See Reviews,https://www.glassdoor.sg/Jobs/Facebook-Jobs-E40772.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Facebook-Inc-RVW4438080.htm," The amount of power entrusted to employees is huge. You are empowered to go explore and find data, build things, and generally choose..."
Qualcomm,#14,"https://www.glassdoor.sg/Overview/Working-at-Qualcomm-EI_IE640.11,19.htm",4.1,https://www.glassdoor.sg/Reviews/Qualcomm-Reviews-E640.htm, See Reviews,https://www.glassdoor.sg/Jobs/Qualcomm-Jobs-E640.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Qualcomm-Incorporated-RVW5276715.htm," The salary is above national average and Qualcomm is one of the high paying companies. The benefits are really awesome, you get full..."
Southwest Airlines,#15,"https://www.glassdoor.sg/Overview/Working-at-Southwest-Airlines-EI_IE611.11,29.htm",4.1,https://www.glassdoor.sg/Reviews/Southwest-Airlines-Reviews-E611.htm, See Reviews,https://www.glassdoor.sg/Jobs/Southwest-Airlines-Jobs-E611.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Southwest-Airlines-Co-RVW5235625.htm," I've worked for SWA for 20 years as a Flight Attendant and still love my job. Perks, flying free, making my own schedule, having..."
Slalom,#16,"https://www.glassdoor.sg/Overview/Working-at-Slalom-EI_IE31102.11,17.htm",4.1,https://www.glassdoor.sg/Reviews/Slalom-Reviews-E31102.htm, See Reviews,https://www.glassdoor.sg/Jobs/Slalom-Jobs-E31102.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Slalom-LLC-RVW5277089.htm," The culture Slalom fosters is incredibly unique. With a focus on a core set of values, our people lead by example and with humility..."
Genentech,#17,"https://www.glassdoor.sg/Overview/Working-at-Genentech-EI_IE274.11,20.htm",4.1,https://www.glassdoor.sg/Reviews/Genentech-Reviews-E274.htm, See Reviews,https://www.glassdoor.sg/Jobs/Genentech-Jobs-E274.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Genentech-Inc-RVW5115688.htm, Strong commitment to taking care of its people. Very strong leadership across the organization focused on career development of its...
Adobe,#18,"https://www.glassdoor.sg/Overview/Working-at-Adobe-EI_IE1090.11,16.htm",4.1,https://www.glassdoor.sg/Reviews/Adobe-Reviews-E1090.htm, See Reviews,https://www.glassdoor.sg/Jobs/Adobe-Jobs-E1090.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Adobe-Systems-Incorporated-RVW4882493.htm, Adobe takes very good care of their employees; they make sure you get want you want from training to benefits. I simply enjoy going to...
MathWorks,#19,"https://www.glassdoor.sg/Overview/Working-at-MathWorks-EI_IE17117.11,20.htm",4.1,https://www.glassdoor.sg/Reviews/MathWorks-Reviews-E17117.htm, See Reviews,https://www.glassdoor.sg/Jobs/MathWorks-Jobs-E17117.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-The-MathWorks-Inc-RVW4820294.htm, Very friendly and supportive co-workers. Awesome perks. Company really cares about employees. Lot of opportunities for leadership...
Stryker,#20,"https://www.glassdoor.sg/Overview/Working-at-Stryker-EI_IE1918.11,18.htm",4.0,https://www.glassdoor.sg/Reviews/Stryker-Reviews-E1918.htm, See Reviews,https://www.glassdoor.sg/Jobs/Stryker-Jobs-E1918.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Stryker-Corporation-RVW5239476.htm, I have never met individuals from in-house to the sales force that are more passionate about what they do. Beyond the personnel...
QuikTrip,#21,"https://www.glassdoor.sg/Overview/Working-at-QuikTrip-EI_IE2947.11,19.htm",4.0,https://www.glassdoor.sg/Reviews/QuikTrip-Reviews-E2947.htm, See Reviews,https://www.glassdoor.sg/Jobs/QuikTrip-Jobs-E2947.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-QuikTrip-Corporation-RVW4265973.htm," For what you do the, pay is the highest that you will find anywhere. You're supervisors are actively interested in seeing you..."
Apple,#22,"https://www.glassdoor.sg/Overview/Working-at-Apple-EI_IE1138.11,16.htm",4.0,https://www.glassdoor.sg/Reviews/Apple-Reviews-E1138.htm, See Reviews,https://www.glassdoor.sg/Jobs/Apple-Jobs-E1138.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Apple-Inc-RVW3987726.htm," Apple offers crazy benefits, and competitive salary. By competitive I don't mean a couple grand more in a year, I'm talking..."
LinkedIn,#23,"https://www.glassdoor.sg/Overview/Working-at-LinkedIn-EI_IE34865.11,19.htm",4.0,https://www.glassdoor.sg/Reviews/LinkedIn-Reviews-E34865.htm, See Reviews,https://www.glassdoor.sg/Jobs/LinkedIn-Jobs-E34865.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-LinkedIn-Corporation-RVW4637133.htm," Besides the free food, there are lots of nice little company-sponsored events and things that happen. You can get professional..."
Gartner,#24,"https://www.glassdoor.sg/Overview/Working-at-Gartner-EI_IE2465.11,18.htm",3.9,https://www.glassdoor.sg/Reviews/Gartner-Reviews-E2465.htm, See Reviews,https://www.glassdoor.sg/Jobs/Gartner-Jobs-E2465.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Gartner-Inc-RVW4426000.htm, There are always opportunities to grow professionally and move forward within the company. Gartner also provides a generous amount of...
NIKE,#25,"https://www.glassdoor.sg/Overview/Working-at-NIKE-EI_IE1699.11,15.htm",3.9,https://www.glassdoor.sg/Reviews/NIKE-Reviews-E1699.htm, See Reviews,https://www.glassdoor.sg/Jobs/NIKE-Jobs-E1699.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-NIKE-Inc-RVW4982582.htm," Progressive mindset, big on family and work/life balance. The benefits are amazing. Hot yoga during my lunch break? Yes please!"
Roche,#26,"https://www.glassdoor.sg/Overview/Working-at-Roche-EI_IE3480.11,16.htm",3.9,https://www.glassdoor.sg/Reviews/Roche-Reviews-E3480.htm, See Reviews,https://www.glassdoor.sg/Jobs/Roche-Jobs-E3480.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Roche-Holding-Ltd-RVW3815264.htm," Roche has excellent benefits, makes a profit consistently and has a great work life balance. The fitness center is an excellent perk..."
Rockwell Automation,#27,"https://www.glassdoor.sg/Overview/Working-at-Rockwell-Automation-EI_IE567.11,30.htm",3.9,https://www.glassdoor.sg/Reviews/Rockwell-Automation-Reviews-E567.htm, See Reviews,https://www.glassdoor.sg/Jobs/Rockwell-Automation-Jobs-E567.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Rockwell-Automation-Inc-RVW5069746.htm," There are multiple career paths to choose from within the same building (Mayfield Heights, OH). The facility has several accommodations..."
Massachusetts General Hospital,#28,"https://www.glassdoor.sg/Overview/Working-at-Massachusetts-General-Hospital-EI_IE20189.11,41.htm",3.9,https://www.glassdoor.sg/Reviews/Massachusetts-General-Hospital-Reviews-E20189.htm, See Reviews,https://www.glassdoor.sg/Jobs/Massachusetts-General-Hospital-Jobs-E20189.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Massachusetts-General-Hospital-RVW4935903.htm," Friendly, talented people, clean and organized, good mentorship and leadership, great name to have on your resume."
Costco Wholesale,#29,"https://www.glassdoor.sg/Overview/Working-at-Costco-Wholesale-EI_IE2590.11,27.htm",3.9,https://www.glassdoor.sg/Reviews/Costco-Wholesale-Reviews-E2590.htm, See Reviews,https://www.glassdoor.sg/Jobs/Costco-Wholesale-Jobs-E2590.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Costco-Wholesale-Corporation-RVW5168356.htm," The pay was great, managers were helpful and constructive, and there was a great teamwork ethic throughout. There was a great..."
Eastman,#30,"https://www.glassdoor.sg/Overview/Working-at-Eastman-EI_IE2452.11,18.htm",3.9,https://www.glassdoor.sg/Reviews/Eastman-Reviews-E2452.htm, See Reviews,https://www.glassdoor.sg/Jobs/Eastman-Jobs-E2452.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Eastman-Chemical-Company-RVW5240637.htm," Amazing collaborative culture, good mentoring habits for new employees and fresh graduates, nurturing environment and very competitive..."
NBCUniversal,#31,"https://www.glassdoor.sg/Overview/Working-at-NBCUniversal-EI_IE32038.11,23.htm",3.9,https://www.glassdoor.sg/Reviews/NBCUniversal-Reviews-E32038.htm, See Reviews,https://www.glassdoor.sg/Jobs/NBCUniversal-Jobs-E32038.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-NBC-Universal-Inc-RVW4456848.htm," Great work-life balance, lots of opportunities to move around within the company, people are generally happy and really creative, lots..."
Wegmans Food Markets,#32,"https://www.glassdoor.sg/Overview/Working-at-Wegmans-Food-Markets-EI_IE3042.11,31.htm",3.9,https://www.glassdoor.sg/Reviews/Wegmans-Food-Markets-Reviews-E3042.htm, See Reviews,https://www.glassdoor.sg/Jobs/Wegmans-Food-Markets-Jobs-E3042.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Wegmans-Food-Markets-Inc-RVW4877629.htm, Wegmans puts an emphasis on taking care of both their customers and their employees. It is very easy to get time off and there are...
Zillow,#33,"https://www.glassdoor.sg/Overview/Working-at-Zillow-EI_IE40802.11,17.htm",3.9,https://www.glassdoor.sg/Reviews/Zillow-Reviews-E40802.htm, See Reviews,https://www.glassdoor.sg/Jobs/Zillow-Jobs-E40802.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Zillow-Inc-RVW4775738.htm," If you're looking for a company that really cares about culture and happy employees, that's Zillow to a tee. You're..."
Mindbody,#34,"https://www.glassdoor.sg/Overview/Working-at-Mindbody-EI_IE319289.11,19.htm",3.9,https://www.glassdoor.sg/Reviews/Mindbody-Reviews-E319289.htm, See Reviews,https://www.glassdoor.sg/Jobs/Mindbody-Jobs-E319289.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-MINDBODY-Inc-RVW4730225.htm," Paid time off is the highest I've ever seen at any company, I work with/for great people, and I have received five promotions in..."
Ford Motor Company,#35,"https://www.glassdoor.sg/Overview/Working-at-Ford-Motor-Company-EI_IE263.11,29.htm",3.9,https://www.glassdoor.sg/Reviews/Ford-Motor-Company-Reviews-E263.htm, See Reviews,https://www.glassdoor.sg/Jobs/Ford-Motor-Company-Jobs-E263.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Ford-Motor-Company-RVW5187365.htm," Values, work-life balance, leadership, ingenuity. Working here is great! They treat their employees nicely. Good pay. Great benefits..."
NVIDIA,#36,"https://www.glassdoor.sg/Overview/Working-at-NVIDIA-EI_IE7633.11,17.htm",3.9,https://www.glassdoor.sg/Reviews/NVIDIA-Reviews-E7633.htm, See Reviews,https://www.glassdoor.sg/Jobs/NVIDIA-Jobs-E7633.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-NVIDIA-Corporation-RVW4220277.htm, You will be working with great people who are very passionate about advancing graphics and gaming technology. Very competitive salary...
Toyota Motor Sales,#37,"https://www.glassdoor.sg/Overview/Working-at-Toyota-North-America-EI_IE3544.11,31.htm",3.9,https://www.glassdoor.sg/Reviews/Toyota-Motor-Sales-Reviews-E4306.htm, See Reviews,https://www.glassdoor.sg/Jobs/Toyota-Motor-Sales-Jobs-E4306.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Toyota-Motor-Corporation-RVW5282510.htm," A strong company with many, many talented people. Associates are diverse in ethnicity, education, goals, expectations, etc. Bonuses..."
Turner Construction,#38,"https://www.glassdoor.sg/Overview/Working-at-Turner-Construction-EI_IE19014.11,30.htm",3.9,https://www.glassdoor.sg/Reviews/Turner-Construction-Reviews-E19014.htm, See Reviews,https://www.glassdoor.sg/Jobs/Turner-Construction-Jobs-E19014.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Turner-Construction-Company-RVW5181834.htm, Turner has completed many impressive projects across the nation and the globe. This experience opens up a lot of opportunities for the...
Bristol Myers Squibb,#40,"https://www.glassdoor.sg/Overview/Working-at-Bristol-Myers-Squibb-EI_IE107.11,31.htm",3.9,https://www.glassdoor.sg/Reviews/Bristol-Myers-Squibb-Reviews-E107.htm, See Reviews,https://www.glassdoor.sg/Jobs/Bristol-Myers-Squibb-Jobs-E107.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Bristol-Myers-Squibb-Company-RVW4752804.htm," Hard work is rewarded, lots of immuno/oncology research, cool and extremely friendly staff, and a sweet location (Redwood city). Great..."
Memorial Sloan Kettering,#41,"https://www.glassdoor.sg/Overview/Working-at-Memorial-Sloan-Kettering-EI_IE4711.11,35.htm",3.9,https://www.glassdoor.sg/Reviews/Memorial-Sloan-Kettering-Reviews-E4711.htm, See Reviews,https://www.glassdoor.sg/Jobs/Memorial-Sloan-Kettering-Jobs-E4711.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Memorial-Sloan-Kettering-Cancer-Center-MSKCC-RVW5159514.htm," Solid company with long history of high-quality patient treatment and service. Great health (medical, dental, vision) and retirement..."
Orbitz Worldwide,#42,"https://www.glassdoor.sg/Overview/Working-at-Orbitz-Worldwide-EI_IE12146.11,27.htm",3.9,https://www.glassdoor.sg/Reviews/Orbitz-Worldwide-Reviews-E12146.htm, See Reviews,https://www.glassdoor.sg/Jobs/Orbitz-Worldwide-Jobs-E12146.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Orbitz-Worldwide-Inc-RVW5289665.htm, Have a global impact and at the end of the day the general public cares about what you do. Smart people who are hugely supportive and...
Edelman,#43,https://www.glassdoor.sg/edelman,3.9,https://www.glassdoor.sg/Reviews/Edelman-Reviews-E4608.htm, See Reviews,https://www.glassdoor.sg/Jobs/Edelman-Jobs-E4608.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Daniel-J-Edelman-Inc-RVW5173787.htm," The people, the global network, the firm's reputation, the benefits...the list goes on. As a junior employee, there is a lot of..."
Genesys,#45,"https://www.glassdoor.sg/Overview/Working-at-Genesys-EI_IE10078.11,18.htm",3.9,https://www.glassdoor.sg/Reviews/Genesys-Reviews-E10078.htm, See Reviews,https://www.glassdoor.sg/Jobs/Genesys-Jobs-E10078.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Genesys-Telecommunications-Laboratories-Inc-RVW5206131.htm," The CEO is passionate about the company, employees and solutions. The technology is light years ahead of the competition and Genesys is..."
Bose,#46,"https://www.glassdoor.sg/Overview/Working-at-Bose-EI_IE3098.11,15.htm",3.9,https://www.glassdoor.sg/Reviews/Bose-Reviews-E3098.htm, See Reviews,https://www.glassdoor.sg/Jobs/Bose-Jobs-E3098.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Bose-Corporation-RVW4045584.htm," Great competitive salary and benefits, excellent management team that cares about individual career development, makes awesome..."
GE Aviation,#47,"https://www.glassdoor.sg/Overview/Working-at-GE-Aviation-EI_IE8674.11,22.htm",3.9,https://www.glassdoor.sg/Reviews/GE-Aviation-Reviews-E8674.htm, See Reviews,https://www.glassdoor.sg/Jobs/GE-Aviation-Jobs-E8674.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-GE-Aviation-RVW5096290.htm, Global opportunities where top performers with the right placement can go as far as they want. Training is career path oriented...
ESPN,#48,"https://www.glassdoor.sg/Overview/Working-at-ESPN-EI_IE13401.11,15.htm",3.8,https://www.glassdoor.sg/Reviews/ESPN-Reviews-E13401.htm, See Reviews,https://www.glassdoor.sg/Jobs/ESPN-Jobs-E13401.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-ESPN-Inc-RVW5227394.htm," Fun atmosphere, good benefits, plenty of opportunity."
EY,#49,"https://www.glassdoor.sg/Overview/Working-at-EY-EI_IE2784.11,13.htm",3.8,https://www.glassdoor.sg/Reviews/EY-Reviews-E2784.htm, See Reviews,https://www.glassdoor.sg/Jobs/EY-Jobs-E2784.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Ernst-and-Young-Global-Ltd-RVW5261971.htm," Great corporate culture, people are very open minded, collegial, and generally fun to work with. I have learned a lot for the people I..."
Disney Parks,#50,"https://www.glassdoor.sg/Overview/Working-at-Disney-Parks-EI_IE13843.11,23.htm",3.8,https://www.glassdoor.sg/Reviews/Disney-Parks-Reviews-E13843.htm, See Reviews,https://www.glassdoor.sg/Jobs/Disney-Parks-Jobs-E13843.htm, View Jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Walt-Disney-Parks-and-Resorts-RVW5121906.htm," Fellow cast members, flexibility with schedule, perks and benefits, great opportunities for career advancement."
