Title,Date,View_URL,View,View1,middle,Author,colsm4,colsm42,colsm43,maintext,View4,View5,View6,View7,Like,socialshareicon,socialshareicon_URL,socialshareicon8,socialshareicon_URL9,socialshareicon10,socialshareicon_URL11,socialshareicon12,Content
Current Employee - Data Analyst,"August 1, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW34556978.htm,"""Great company to work for""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than a year,Pros,"Great WLB culture, encourage collaboration",Cons,Moving up is hard since everyone is excellent,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW34556978.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20company%20to%20work%20for%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20company%20to%20work%20for%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW34556978.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW34556978.htm,Copy Link,Flag as Inappropriate
Current Employee - Field Sales Representative,"August 28, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW35376515.htm,"""""Cloud Singapore - Poisonous snakepit""""",1.0,in Singapore,Singapore,Doesn't Recommend,Neutral Outlook,Approves of CEO,I have been working at Google full-time for more than 3 years,Pros,"Compensation package (management offering us relief in COVID era)
Cloud products (cutting edge platform, destroyed by lack of management reality checks)",Cons,"- Regional management and politics
(Leaders hired mostly from AWS bringing AWS processes and culture. Leaders criticize constantly and do not offer tangible solutions all the while claiming credit for work they do not do.)
- Promotions/Development - Old boys club (if you are tight with APAC management, ex aws, can coast, not do a thing, be none the wiser and get paid)
- Lack of direction
We spend too much time to make plans and do not meet customers as much as we would like to. Conflicting directions or lack of from teams.",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW35376515.htm&text=Google+review+on+%23Glassdoor%3A+%22%22Cloud%20Singapore%20-%20Poisonous%20snakepit%22%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22%22Cloud%20Singapore%20-%20Poisonous%20snakepit%22%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW35376515.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW35376515.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"July 8, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW34127173.htm,"""One of best companies I've known""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than a year,Pros,"- Learn how to genuinely care for people, be it clients, stakeholders, or public
- Benefits, perks, discounts, travels, insurance (seriously best insurance)
- People are very nice here
- Free food, drinks, and snacks all the time
- Fun environment, a bit like college campus feel",Cons,No cons as of now,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW34127173.htm&text=Google+review+on+%23Glassdoor%3A+%22One%20of%20best%20companies%20I%27ve%20known%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22One%20of%20best%20companies%20I%27ve%20known%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW34127173.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW34127173.htm,Copy Link,Flag as Inappropriate
Former Employee - Senior Software Developer,"August 7, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW34682507.htm,"""Always on the go""",1.0,,,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,I worked at Google full-time,Pros,"Good working environment, good pay",Cons,you will be lost in so many others,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW34682507.htm&text=Google+review+on+%23Glassdoor%3A+%22Always%20on%20the%20go%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Always%20on%20the%20go%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW34682507.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW34682507.htm,Copy Link,Flag as Inappropriate
Former Employee - Technician,"July 8, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW34119457.htm,"""Tine water""",3.0,"in Bedok New Town, East","Bedok New Town, East",,,,I worked at Google full-time,Pros,Technology lifestyle brand salary devastating,Cons,Tech life broad pay hood,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW34119457.htm&text=Google+review+on+%23Glassdoor%3A+%22Tine%20water%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Tine%20water%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW34119457.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW34119457.htm,Copy Link,Flag as Inappropriate
Current Employee - Anonymous Employee,"June 23, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33864700.htm,"""Love working here""",5.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time,Pros,"People, culture, senior Management, values",Cons,"Execution, matrix org, career growth, high expectations",,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33864700.htm&text=Google+review+on+%23Glassdoor%3A+%22Love%20working%20here%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Love%20working%20here%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33864700.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33864700.htm,Copy Link,Flag as Inappropriate
Current Employee - Technology Analyst,"June 16, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33739716.htm,"""Great""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time,Pros,"Wonderful, benefit, good ppl yes",Cons,its difficult to get in.,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33739716.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33739716.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33739716.htm,Copy Link,Flag as Inappropriate
Current Employee - Learning and Development Manager,"June 10, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33628438.htm,"""Awesome""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,,I have been working at Google full-time,Pros,"Awesome food, coffee, benefits and people!",Cons,Politics and competition. Slow promotions.,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33628438.htm&text=Google+review+on+%23Glassdoor%3A+%22Awesome%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Awesome%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33628438.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33628438.htm,Copy Link,Flag as Inappropriate
Current Employee - Software Engineer,"June 23, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33869724.htm,"""Engineering""",4.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 3 years,Pros,Salaries high and the environment is very nice,Cons,I think there are no cons,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33869724.htm&text=Google+review+on+%23Glassdoor%3A+%22Engineering%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Engineering%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33869724.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33869724.htm,Copy Link,Flag as Inappropriate
Former Employee - Field Sales,"June 19, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33802911.htm,"""Google Cloud != old idealised Google""",2.0,,,Doesn't Recommend,Negative Outlook,Approves of CEO,I worked at Google full-time for more than a year,Pros,"if (Money, Interesting People, Glamour, Pageantry, vestiges of old Google) { 

//are your priorities at this stage then by all means join, Google in all its glory and cliches are true, its fun, don't let it get into your head. Observe what is applicable in the real world, use your time to build up network, and projects that truly tickle your passion. Save your money and RSU, don’t acquire vices along the way, your colleagues will inevitably influence your drive to keep up with the pretence that this world will never end, and perhaps they might be wrong//


}",Cons,"else if(old boys club, shout the loudest, inequity propels your best work){

//Welcome! I'm talking about Google Cloud here, for other parts of Google, read elsewhere//

//I question the corrosive incentives, motives and culture of Google Cloud far more than the people who live by these constraints. The danger is overtime as a person you are dyed by your environment and it will almost be impossible to back track//
}

else if (Quackery and Snake Oil is your thing) {

// if you like selling half baked Enterprise tools/engagements, and yes everyone in Google is expected to sell even you honest old architect and octo people, that doesn’t even work inside Google, products that lack any purchase process and support tools and systems. Yes we welcome you with open arms! // 

// any objection to this statement ask your hiring team what Data Systems they use in house, forget real time, theres not even one that works and you'll be pointed to multiple sources and links ? Google Cloud can't even make its dog food edible, what a load of AI nonsense //

//O yes, we can tell you all about our innovation practices, HR practices and inclusivity and freedom to express what’s in your mind but we forgot to mention that was >15 years ago. Russian proverb apparently “When money speaks, truth is silent ”, o yes and you’ll embrace anything for those RSUs and base pay. //

// Don't forget to ask your hiring manger and Directors how many of the field sales and engineering team are able to meet their ""fair calibrated, Mckinsey Tailored"" targets that directly impact their variable pay?  Prepare to hear lies //
}

else if (Ideas and Rhetoric is your cup of tea and not bothering to execute) { 

// you love consultants from BCG, Mckinsey who haven't seen a real customer and solved real customer issues let alone real world problems in a while but love playing with words, ideas, stats, data through Trixes(excel sheets in G's lingo), a warm welcome! 
}

else if (SAP, Oracle, VMware, Microsoft and present day AWS not its early days) {

//if your tenets of customer obsession draws inspiration from these principals and your idea of building sustainable business is by ravaging, locking in, screwing your customers, a warm welcome! //
}",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33802911.htm&text=Google+review+on+%23Glassdoor%3A+%22Google%20Cloud%20!=%20old%20idealised%20Google%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Google%20Cloud%20!=%20old%20idealised%20Google%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33802911.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33802911.htm,Copy Link,Flag as Inappropriate
Current Employee - Technical Recruiter,"June 22, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33825910.htm,"""Not for ambitious people""",3.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 3 years,Pros,The company takes care of their employees. Good work life balance & benefits. Nice & fun colleagues.,Cons,"You are a tiny cog in a massive machine. Extremely difficult to make real impact, or drive significant changes. Everyone is expected to assume good intent which makes it challenging to call people out for their obvious and repeated mistakes.",,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33825910.htm&text=Google+review+on+%23Glassdoor%3A+%22Not%20for%20ambitious%20people%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Not%20for%20ambitious%20people%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33825910.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33825910.htm,Copy Link,Flag as Inappropriate
Current Employee - Head of Market Insight,"June 4, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33514304.htm,"""Thoughtful""",5.0,in Singapore,Singapore,,,,I have been working at Google full-time,Pros,A very open and innovative place to work.,Cons,I dont really have any cons at this time.,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33514304.htm&text=Google+review+on+%23Glassdoor%3A+%22Thoughtful%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Thoughtful%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33514304.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33514304.htm,Copy Link,Flag as Inappropriate
Current Employee - Sales Representative,"May 28, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33397775.htm,"""Great company""",5.0,in Singapore,Singapore,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 5 years,Pros,"- perks and people
- benefits
- great insurance",Cons,"- rigid and slow because its too big now,",Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33397775.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20company%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20company%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33397775.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33397775.htm,Copy Link,Flag as Inappropriate
Former Employee - Anonymous Employee,"May 22, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33308436.htm,"""Good Employer""",5.0,,,,,,I worked at Google full-time,Pros,"Salary: usually higher than market average.
Work Environment: F&B, office supplies, decoration, etc.",Cons,Bureaucracy: slow-moving decision making and sometimes cross-functional fighting.,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33308436.htm&text=Google+review+on+%23Glassdoor%3A+%22Good%20Employer%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Good%20Employer%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33308436.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33308436.htm,Copy Link,Flag as Inappropriate
Former Employee - Senior Security Specialist At Data Center,"June 25, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33909450.htm,"""It is what not the hype you read in the news. Bad.""",1.0,"in Jurong West New Town, West","Jurong West New Town, West",Doesn't Recommend,Negative Outlook,No Opinion of CEO,I worked at Google full-time for more than 5 years,Pros,B E N E F I T S,Cons,Global MNC but still local mentality with horrible people management. Terrible working conditions at the Data Center. Looks good on paper but hell no. It is really quite the opposite. Management does not care about you and  favoritism and racism is well and alive.,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33909450.htm&text=Google+review+on+%23Glassdoor%3A+%22It%20is%20what%20not%20the%20hype%20you%20read%20in%20the%20news.%20Bad.%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22It%20is%20what%20not%20the%20hype%20you%20read%20in%20the%20news.%20Bad.%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33909450.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33909450.htm,Copy Link,Flag as Inappropriate
Current Employee - Software Developer,"June 3, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33495374.htm,"""Great""",3.0,,,,,,I have been working at Google full-time,Pros,Just awesome but i also think that special,Cons,Too monopolistic but also i reckon that,,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33495374.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33495374.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33495374.htm,Copy Link,Flag as Inappropriate
Former Employee - Intern,"May 14, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW33171276.htm,"""Pretty good""",3.0,in Singapore,Singapore,Recommends,Neutral Outlook,,I worked at Google part-time for less than a year,Pros,"Good food, modern tech facilities",Cons,Not much to say la,Continue reading,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW33171276.htm&text=Google+review+on+%23Glassdoor%3A+%22Pretty%20good%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Pretty%20good%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW33171276.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW33171276.htm,Copy Link,Flag as Inappropriate
Current Employee - Account Manager,"April 25, 2020",https://www.glassdoor.sg/Reviews/Employee-Review-Google-RVW32888789.htm,"""Great company culture and a good place for professional development""",5.0,,,Recommends,Positive Outlook,Approves of CEO,I have been working at Google full-time for more than 3 years,Pros,Amazing people to work with. Great company culture with very good benefits. Lots of focus on personal development and many opportunities for career progression.,Cons,"It's a massive company with many people performing similar roles, especially in the ads sales business. Can be hard to differentiate yourself.",,Share on Facebook,https://twitter.com/share?url=undefined/Reviews/Employee-Review-Google-RVW32888789.htm&text=Google+review+on+%23Glassdoor%3A+%22Great%20company%20culture%20and%20a%20good%20place%20for%20professional%20development%22,Share on Twitter,mailto:?Subject=Google%20review%20on%20Glassdoor&body=Read%20this%20review%20of%20Google%20on%20Glassdoor.%20%22Great%20company%20culture%20and%20a%20good%20place%20for%20professional%20development%22%C2%A0undefined/Reviews/Employee-Review-Google-RVW32888789.htm,Share via Email,https://www.glassdoor.sg/Reviews/undefined/Reviews/Employee-Review-Google-RVW32888789.htm,Copy Link,Flag as Inappropriate
